timestamp,hr,sdnn,rmssd
2025-11-15 00:44:58,49.2,533.39,954.97
2025-11-15 00:44:58,49.2,568.44,935.18
2025-11-15 00:44:58,49.2,572.78,937.85
2025-11-15 00:44:58,49.2,538.61,971.13
2025-11-15 00:44:58,49.2,538.61,971.13
2025-11-15 00:44:58,49.2,549.18,982.82
2025-11-15 00:44:58,49.2,551.82,985.51
2025-11-15 00:44:58,49.2,554.62,988.33
2025-11-15 00:44:58,49.2,554.62,988.33
2025-11-15 00:44:58,49.2,554.62,988.33
2025-11-15 00:44:58,49.2,551.82,985.51
2025-11-15 00:44:58,49.2,551.82,985.51
2025-11-15 00:44:58,49.2,551.82,985.51
2025-11-15 00:44:58,49.2,549.18,982.82
2025-11-15 00:44:58,49.2,538.61,971.13
2025-11-15 00:44:58,49.2,549.18,982.82
2025-11-15 00:44:58,49.2,549.18,982.82
2025-11-15 00:44:58,49.2,549.18,982.82
2025-11-15 00:44:58,49.2,549.18,982.82
2025-11-15 00:44:58,49.2,549.18,982.82
2025-11-15 00:44:58,49.2,551.82,985.51
2025-11-15 00:44:58,49.2,551.82,985.51
2025-11-15 00:44:58,49.2,551.82,985.51
2025-11-15 00:44:58,49.2,641.01,1137.98
2025-11-15 00:44:58,49.2,636.56,1133.27
2025-11-15 00:44:58,49.2,632.26,1128.67
2025-11-15 00:44:58,49.2,610.73,1109.84
2025-11-15 00:44:58,49.2,610.73,1109.84
2025-11-15 00:44:58,49.2,610.73,1109.84
2025-11-15 00:44:58,49.2,610.73,1109.84
2025-11-15 00:44:59,49.2,610.73,1109.84
2025-11-15 00:44:59,49.2,629.35,1121.51
2025-11-15 00:44:59,49.2,636.56,1133.27
2025-11-15 00:44:59,49.2,636.56,1133.27
2025-11-15 00:44:59,49.2,636.56,1133.27
2025-11-15 00:44:59,49.2,636.56,1133.27
2025-11-15 00:44:59,49.2,636.56,1133.27
2025-11-15 00:44:59,49.2,636.56,1133.27
2025-11-15 00:44:59,49.2,636.56,1133.27
2025-11-15 00:44:59,49.2,636.56,1133.27
2025-11-15 00:44:59,49.2,636.56,1133.27
2025-11-15 00:44:59,49.2,636.56,1133.27
2025-11-15 00:44:59,49.2,636.56,1133.27
2025-11-15 00:44:59,49.2,636.56,1133.27
2025-11-15 00:44:59,49.2,629.35,1121.51
2025-11-15 00:44:59,49.2,629.35,1121.51
2025-11-15 00:44:59,49.2,629.35,1121.51
2025-11-15 00:44:59,49.2,629.35,1121.51
2025-11-15 00:44:59,49.2,629.35,1121.51
2025-11-15 00:44:59,49.2,636.56,1133.27
2025-11-15 00:44:59,49.2,636.56,1133.27
2025-11-15 00:44:59,49.2,634.79,1133.21
2025-11-15 00:44:59,49.2,634.79,1133.21
2025-11-15 00:44:59,49.2,634.79,1133.21
2025-11-15 00:44:59,49.2,634.79,1133.21
2025-11-15 00:44:59,49.2,634.79,1133.21
2025-11-15 00:44:59,49.2,634.79,1133.21
2025-11-15 00:44:59,49.2,634.79,1133.21
2025-11-15 00:44:59,49.2,636.56,1133.27
2025-11-15 00:45:00,49.2,636.56,1133.27
2025-11-15 00:45:00,49.2,629.35,1121.51
2025-11-15 00:45:00,49.2,629.35,1121.51
2025-11-15 00:45:00,49.2,629.35,1121.51
2025-11-15 00:45:00,49.2,636.56,1133.27
2025-11-15 00:45:00,49.2,636.56,1133.27
2025-11-15 00:45:00,49.2,664.53,1211.45
2025-11-15 00:45:00,49.2,664.53,1211.45
2025-11-15 00:45:00,49.2,652.51,1188.24
2025-11-15 00:45:00,49.2,652.51,1188.24
2025-11-15 00:45:00,49.2,652.51,1188.24
2025-11-15 00:45:00,49.2,652.51,1188.24
2025-11-15 00:45:00,49.2,652.51,1188.24
2025-11-15 00:45:00,49.2,652.51,1188.24
2025-11-15 00:45:00,49.2,652.51,1188.24
2025-11-15 00:45:00,49.2,652.51,1188.24
2025-11-15 00:45:00,49.2,652.51,1188.24
2025-11-15 00:45:00,49.2,652.51,1188.24
2025-11-15 00:45:00,49.2,652.51,1188.24
2025-11-15 00:45:00,49.2,652.51,1188.24
2025-11-15 00:45:00,49.2,652.51,1188.24
2025-11-15 00:45:00,49.2,652.51,1188.24
2025-11-15 00:45:00,49.2,652.51,1188.24
2025-11-15 00:45:00,49.2,652.51,1188.24
2025-11-15 00:45:00,49.2,652.51,1188.24
2025-11-15 00:45:00,49.2,625.41,1111.56
2025-11-15 00:45:00,49.2,621.23,1107.24
2025-11-15 00:45:00,49.2,647.74,1183.62
2025-11-15 00:45:00,49.2,621.23,1107.24
2025-11-15 00:45:00,49.2,621.23,1107.24
2025-11-15 00:45:01,49.2,647.74,1183.62
2025-11-15 00:45:01,49.2,647.74,1183.62
2025-11-15 00:45:01,49.2,636.49,1161.21
2025-11-15 00:45:01,49.2,636.49,1161.21
2025-11-15 00:45:01,49.2,636.49,1161.21
2025-11-15 00:45:01,49.2,672.34,1096.9
2025-11-15 00:45:01,49.2,672.34,1096.9
2025-11-15 00:45:01,49.2,681.82,1117.79
2025-11-15 00:45:01,49.2,681.82,1117.79
2025-11-15 00:45:01,49.2,681.82,1117.79
2025-11-15 00:45:01,49.2,681.82,1117.79
2025-11-15 00:45:01,49.2,681.82,1117.79
2025-11-15 00:45:01,49.2,681.82,1117.79
2025-11-15 00:45:01,49.2,681.82,1117.79
2025-11-15 00:45:01,49.2,681.82,1117.79
2025-11-15 00:45:01,49.2,681.82,1117.79
2025-11-15 00:45:01,49.2,672.34,1096.9
2025-11-15 00:45:01,49.2,672.34,1096.9
2025-11-15 00:45:01,49.2,672.34,1096.9
2025-11-15 00:45:01,49.2,672.34,1096.9
2025-11-15 00:45:01,49.2,672.34,1096.9
2025-11-15 00:45:01,49.2,672.34,1096.9
2025-11-15 00:45:01,49.2,672.34,1096.9
2025-11-15 00:45:01,49.2,672.34,1096.9
2025-11-15 00:45:01,49.2,672.34,1096.9
2025-11-15 00:45:01,49.2,672.34,1096.9
2025-11-15 00:45:01,49.2,672.34,1096.9
2025-11-15 00:45:01,49.2,681.82,1117.79
2025-11-15 00:45:01,49.2,691.53,1138.9
2025-11-15 00:45:01,49.2,691.53,1138.9
2025-11-15 00:45:02,49.2,701.46,1160.22
2025-11-15 00:45:02,49.2,701.46,1160.22
2025-11-15 00:45:02,49.2,701.46,1160.22
2025-11-15 00:45:02,49.2,690.5,1132.23
2025-11-15 00:45:02,49.2,690.5,1132.23
2025-11-15 00:45:02,49.2,680.96,1111.24
2025-11-15 00:45:02,49.2,680.96,1111.24
2025-11-15 00:45:02,49.2,671.65,1090.49
2025-11-15 00:45:02,49.2,638.89,1056.78
2025-11-15 00:45:02,49.2,663.1,1076.26
2025-11-15 00:45:02,49.2,663.1,1076.26
2025-11-15 00:45:02,49.2,663.1,1076.26
2025-11-15 00:45:02,49.2,663.78,1082.63
2025-11-15 00:45:02,49.2,990.22,1290.93
2025-11-15 00:45:02,49.2,742.87,1261.94
2025-11-15 00:45:02,49.2,742.87,1261.94
2025-11-15 00:45:02,49.2,754.25,1284.47
2025-11-15 00:45:02,49.2,754.25,1284.47
2025-11-15 00:45:02,49.2,754.25,1284.47
2025-11-15 00:45:02,49.2,775.66,1052.51
2025-11-15 00:45:02,49.2,766.3,1042.13
2025-11-15 00:45:02,49.2,723.41,1008.71
2025-11-15 00:45:02,49.2,714.71,999.37
2025-11-15 00:45:02,49.2,714.71,999.37
2025-11-15 00:45:02,49.2,706.06,990.09
2025-11-15 00:45:02,49.2,697.46,980.86
2025-11-15 00:45:02,49.2,409.46,645.93
2025-11-15 00:45:02,49.2,426.22,652.22
2025-11-15 00:45:02,49.2,426.22,652.22
2025-11-15 00:45:02,49.2,426.22,652.22
2025-11-15 00:45:03,49.2,426.22,652.22
2025-11-15 00:45:03,49.2,424.92,654.9
2025-11-15 00:45:03,49.2,424.92,654.9
2025-11-15 00:45:03,49.2,424.92,654.9
2025-11-15 00:45:03,49.2,424.92,654.9
2025-11-15 00:45:03,49.2,424.92,654.9
2025-11-15 00:45:03,49.2,424.92,654.9
2025-11-15 00:45:03,49.2,598.92,725.62
2025-11-15 00:45:03,49.2,424.92,654.9
2025-11-15 00:45:03,49.2,424.92,654.9
2025-11-15 00:45:03,49.2,424.92,654.9
2025-11-15 00:45:03,49.2,424.92,654.9
2025-11-15 00:45:03,49.2,424.92,654.9
2025-11-15 00:45:03,49.2,424.92,654.9
2025-11-15 00:45:03,49.2,424.92,654.9
2025-11-15 00:45:03,49.2,424.92,654.9
2025-11-15 00:45:03,49.2,424.92,654.9
2025-11-15 00:45:03,49.2,424.92,654.9
2025-11-15 00:45:03,49.2,758.65,866.51
2025-11-15 00:45:03,49.2,758.65,866.51
2025-11-15 00:45:03,49.2,758.65,866.51
2025-11-15 00:45:03,49.2,758.65,866.51
2025-11-15 00:45:03,49.2,758.65,866.51
2025-11-15 00:45:03,49.2,758.65,866.51
2025-11-15 00:45:03,49.2,758.65,866.51
2025-11-15 00:45:03,49.2,758.65,866.51
2025-11-15 00:45:03,49.2,758.65,866.51
2025-11-15 00:45:03,49.2,758.65,866.51
2025-11-15 00:45:03,49.2,758.65,866.51
2025-11-15 00:45:03,49.2,758.65,866.51
2025-11-15 00:45:04,49.2,758.65,866.51
2025-11-15 00:45:04,49.2,758.65,866.51
2025-11-15 00:45:04,49.2,758.65,866.51
2025-11-15 00:45:04,49.2,758.65,866.51
2025-11-15 00:45:04,49.2,758.65,866.51
2025-11-15 00:45:04,49.2,758.65,866.51
2025-11-15 00:45:04,49.2,758.65,866.51
2025-11-15 00:45:04,49.2,758.65,866.51
2025-11-15 00:45:04,49.2,758.65,866.51
2025-11-15 00:45:04,49.2,758.65,866.51
2025-11-15 00:45:04,49.2,758.65,866.51
2025-11-15 00:45:04,49.2,725.75,1083.09
2025-11-15 00:45:04,49.2,725.75,1083.09
2025-11-15 00:45:04,49.2,758.65,866.51
2025-11-15 00:45:04,49.2,758.65,866.51
2025-11-15 00:45:04,49.2,758.65,866.51
2025-11-15 00:45:04,49.2,742.71,1151.22
2025-11-15 00:45:04,49.2,742.71,1151.22
2025-11-15 00:45:04,49.2,742.71,1151.22
2025-11-15 00:45:04,49.2,742.71,1151.22
2025-11-15 00:45:04,49.2,728.59,1097.81
2025-11-15 00:45:04,49.2,728.59,1097.81
2025-11-15 00:45:04,49.2,728.59,1097.81
2025-11-15 00:45:04,49.2,728.59,1097.81
2025-11-15 00:45:04,49.2,737.65,1049.87
2025-11-15 00:45:04,49.2,719.92,1007.07
2025-11-15 00:45:04,49.2,719.92,1007.07
2025-11-15 00:45:04,49.2,719.92,1007.07
2025-11-15 00:45:04,49.2,719.92,1007.07
2025-11-15 00:45:04,49.2,758.65,866.51
2025-11-15 00:45:05,49.2,758.65,866.51
2025-11-15 00:45:05,49.2,758.65,866.51
2025-11-15 00:45:05,49.2,758.65,866.51
2025-11-15 00:45:05,49.2,719.92,1007.07
2025-11-15 00:45:05,49.2,727.73,1092.19
2025-11-15 00:45:05,49.2,737.65,1049.87
2025-11-15 00:45:05,49.2,737.65,1049.87
2025-11-15 00:45:05,49.2,737.65,1049.87
2025-11-15 00:45:05,49.2,719.92,1007.07
2025-11-15 00:45:05,49.2,708.16,1105.09
